Serial,Type,Reference,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
৩৪,সাধারণ,,নিচের কোন সংখ্যাটি ২ ও ৩ দ্বারা বিভাজ্য?,২১৮৪,৫২৭৩,৭৮৩২,৮৫৪২,ক,২১৮৪,
৩৫,সাধারণ,,২৩৫২ সংখ্যাটি নিচের কোন সংখ্যাটি দ্বারা অবিভাজ্য?,২,৪,৬,৯,ঘ,৯,
৩৬,সাধারণ,,দুই অঙ্কের বৃহত্তম ও ক্ষুদ্রতম মৌলিক সংখ্যাদ্বয়ের বিয়োগফল সর্বদাই কত দ্বারা বিভাজ্য?,২,৪,৬,৯,ক,২,
৩৭,উদ্দীপকভিত্তিক,,১৫২৪৬ সংখ্যাটি- ৩ দ্বারা বিভাজ্য ৬ দ্বারা বিভাজ্য ৯ দ্বারা বিভাজ্য নিচের কোনটি সঠিক?,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৩৮,উদ্দীপকভিত্তিক,,"কোনো সংখ্যার – একক স্থানীয় অঙ্কটি শূন্য (০) অথবা জোড় সংখ্যা হলে, প্রদত্ত সংখ্যাটি ২ দ্বারা বিভাজ্য হবে। একক ও দশক স্থানের অঙ্ক দুইটি দ্বারা গঠিত সংখ্যা ৪ দ্বারা বিভাজ্য হলে, ঐ সংখ্যাটি ৪ দ্বারা বিভাজ্য হবে। একক ও দশক উভয় স্থানের অঙ্ক ০ হলে, সংখ্যাটি ৪ দ্বারা বিভাজ্য হবে। নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৩৯,উদ্দীপকভিত্তিক,,৬০০ সংখ্যাটি – ২ দ্বারা বিভাজ্য ৪ দ্বারা বিভাজ্য ৫ দ্বারা বিভাজ্য নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৪০,উদ্দীপকভিত্তিক,,৬০২৪ সংখ্যাটি- ২ দ্বারা বিভাজ্য ৩ দ্বারা বিভাজ্য ৪ দ্বারা বিভাজ্য নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৪১,উদ্দীপকভিত্তিক,,১২৫     ৮-এর      চিহ্নিত স্থানে ২ বসালে – ৩ দ্বারা বিভাজ্য হবে ৪ দ্বারা বিভাজ্য হবে ৯ দ্বারা বিভাজ্য হবে নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৪২,উদ্দীপকভিত্তিক,,একটি সংখ্যার একক স্থানীয় অঙ্ক শূন্য হলে- সংখ্যাটি ৪ দ্বারা বিভাজ্য। সংখ্যাটি ৫ দ্বারা বিভাজ্য। সংখ্যাটি ১০ দ্বারা বিভাজ্য। নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ,ii ও iii,
৫,উদ্দীপকভিত্তিক,,", ৭, ০, ৮, ১ হলো পাঁচটি অঙ্ক। ৪৩. অঙ্কগুলি দ্বারা গঠিত পাঁচ অঙ্কের ক্ষুদ্রতম সংখ্যা কোনটি?",৫১৭৮,১০৫৭৮,৫১৭৮০,৮৭১৫০,খ,১০৫৭৮,
৪৪,সাধারণ,,গঠিত ক্ষুদ্রতম সংখ্যাটি নিচের কোন সংখ্যা দ্বারা অবিভাজ্য?,২,৩,৬,৯,ঘ,৯,
৪৫,সাধারণ,,চিহ্নিত স্থানে ৪ হলে নিচের কোন সংখ্যাটি দ্বারা বিভাজ্য হবে?,৩,৪,৬,৯,খ,৪,
৪৬,উদ্দীপকভিত্তিক,,চিহ্নিত স্থানে- ২ হলে সংখ্যাটি ৩ দ্বারা বিভাজ্য ৮ হলে সংখ্যাটি ৬ দ্বারা বিভাজ্য ৬ হলে সংখ্যাটি ৪ দ্বারা বিভাজ্য নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৪৭,সাধারণ,,২০ থেকে ৪০ এর মধ্যে মৌলিক সংখ্যা কতটি?,৪,৫,৬,৭,ক,৪,
৪৮,সাধারণ,,নিচের কোন জোড়া সহমৌলিক?,"১৫, ৩০","৪, ৫০","৩১, ৯৩","৪, ৯",ঘ,"৪, ৯",
৪৯,সাধারণ,,নিচের কোন সংখ্যাটি ৩ দ্বারা বিভাজ্য?,১৭৩,২১৮,২৮৩,৭৬২,ঘ,৭৬২,
৫০,উদ্দীপকভিত্তিক,,পাঁচ অঙ্কের বৃহত্তম সংখ্যা- ৩ দ্বারা বিভাজ্য ৬ দ্বারা বিভাজ্য ৯ দ্বারা বিভাজ্য নিচের কোনটি সঠিক?,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",গ,ii ও iii,
৫১,সাধারণ,,৮ এর গুণনীয়কগুলোর গুণফল কত?,৮,১৬,৩২,৬৪,ঘ,৬৪,
৫২,সাধারণ,,নিচের কোন সংখ্যাটি ৯ দ্বারা বিভাজ্য?,৯৮৭৩,৯৬৭৮,৭৩৫৯,৬৭৩৯,ক,৯৮৭৩,
৫৩,সাধারণ,,দুইটি সংখ্যার বৃহত্তম গুণনীয়কদ্বয়ের পার্থক্য-,সংখ্যাদ্বয়ের যোগফলের সমান,সংখ্যাদ্বয়ের পার্থক্যের সমান,সংখ্যাদ্বয়ের গুণফলের সমান,শূন্য (০),খ,সংখ্যাদ্বয়ের পার্থক্যের সমান,
৫৪,উদ্দীপকভিত্তিক,,৩৮৭৫৪ সংখ্যাটি বিভাজ্য- ২ দ্বারা ৩ দ্বারা ৬ দ্বারা নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
৬,উদ্দীপকভিত্তিক,,", ৫, ০, ৭, ৮ হলো পাঁচটি অঙ্ক। ৫৫. অঙ্কগুলি দ্বারা গঠিত ক্ষুদ্রতম সংখ্যা কোনটি?",৫৬৭৮,৫০৬৭৮,৫৬৭৮০,৮৭৬৫০,খ,৫০৬৭৮,
৫৬,সাধারণ,,গঠিত ক্ষুদ্রতম সংখ্যাটি নিচের কোন সংখ্যা দ্বারা বিভাজ্য?,২,৩,৬,৯,ক,২,
৫৭,সাধারণ,,১২ এর গুণনীয়কগুলোর সমষ্টি কত?,২৮,২৭,২৪,১৬,ক,২৮,
৫৮,সাধারণ,,১০০ থেকে ১১০ পর্যন্ত মৌলিক সংখ্যা কতটি?,২,৩,৪,৫,গ,৪,
৫৯,সাধারণ,,৭৫২৪      এর      চিহ্নিত স্থানে কত বসালে ৯ দ্বারা বিভাজ্য হবে?,০,২,৩,৫,ক,০,
৬০,সাধারণ,,১০৫ এর মৌলিক উৎপাদক কতটি?,১,২,৩,৪,গ,৩,
৬১,সাধারণ,,৯ দ্বারা বিভাজ্য কোনো সংখ্যা অবশ্যই- দ্বারা নিঃশেষে বিভাজ্য হবে?,২,৩,৫,৬,খ,৩,
১,সাধারণ,,কোন বৃহত্তম সংখ্যা দ্বারা ১০০ ও ১৮৪ কে ভাগ করলে প্রত্যেকবার ভাগশেষ ৪ থাকবে?,৫,৬,৮,১৬,খ,৬,
২,সাধারণ,,"২, ৪, ৬, ৮ এর গ.সা.গু. কত?",৪,২,৬,১,খ,২,
৩,সাধারণ,,"২৫, ৩৫ ও ৮৫ সংখ্যাসমূহের গ.সা.গু. কত?",৪,৮,৫,১৫,গ,৫,
৪,সাধারণ,,৭ ও ২১ এর গ.সা.গু. কত?,১,৩,৭,২১,গ,৭,
৫,সাধারণ,,"২৮, ৪৮, ৭২ ও ৯৬ এর গ.সা.গু. কত?",৪,৮,৬,২,ক,৪,
৬,সাধারণ,,"৪২, ৪৮ ও ৫৬-এর গ.সা.গু. কত?",২,৪,১৬,৪২,ক,২,
৭,সাধারণ,,"৩, ১২, ১৫, ২১ এর সাধারণ গুণনীয়ক কোনটি?",২,৪,৩,৫,গ,৩,
৮,সাধারণ,,দুইটি সংখ্যার গুণফল ১০৮। একটি সংখ্যা ১২ হলে সংখ্যা দুটির গ.সা.গু. কত?,১,২,৩,৯,গ,৩,
৯,সাধারণ,,গ.সা.গু. এর পূর্ণরূপ কী?,লঘিষ্ঠ সাধারণ গুণিতক,গরিষ্ঠ সাধারণ গুণনীয়ক,গরিষ্ঠ সাধারণ গুণিতক,লঘিষ্ঠ সাধারণ গুণনীয়ক,খ,গরিষ্ঠ সাধারণ গুণনীয়ক,
১০,সাধারণ,,"দুই বা ততোধিক সংখ্যার সাধারণ গুণনীয়ক যদি ১ হয়, তবে সংখ্যাদ্বয় পরস্পর কীরূপ?",জোড় সংখ্যা,বিজোড় সংখ্যা,ভগ্নাংশ সংখ্যা,সহমৌলিক সংখ্যা,ঘ,সহমৌলিক সংখ্যা,
১১,সাধারণ,,"১২, ৩০ এর গরিষ্ঠ সাধারণ গুণনীয়ক কোনটি?",২,৩,৬,১২,গ,৬,
১২,সাধারণ,,দুইটি সংখ্যার সাধারণ মৌলিক গুণনীয়ক না থাকলে তাদের গ.সা.গু. কত?,০,১,২,৩,খ,১,
১৩,সাধারণ,,"১২, ১৮ এবং ৪৮ এর গ.সা.গু কত?",৩,৬,৮,১২,খ,৬,
১৪,সাধারণ,,"৮ , ১৫, ২১ এর গ.সা.গু. নিচের কোনটি?",১,৩,৫,কোনটিই নয়,ক,১,
১৫,সাধারণ,,নিচের কোন দুইটি সংখ্যার গ.সা.গু. ১৩?,"১৮২, ১৯৪","৩২৩, ৪৩৭","১১৭, ২২১","১৬৯, ১৯৬",গ,"১১৭, ২২১",
১৬,সাধারণ,,কোন বৃহত্তম সংখ্যা দ্বারী ৩৬৫ ও ৪৬৩ কে ভাগ করলে ভাগশেষ যথাক্রমে ৫ ও ৭ থাকে?,৪২,২৮,২৪,৩৫,গ,২৪,
১৭,সাধারণ,,১০০৮ ও ৯৯৮ এর সাধারণ মৌলিক গুণণীয়ক কত?,২,৩,৪,৭,ক,২,
১৮,সাধারণ,,১৮ এর কয়টি গুণনীয়ক আছে?,৩,৪,৫,৬,ঘ,৬,
১৯,সাধারণ,,নিচের কোন সংখ্যা দ্বারা ১৮ এবং ৩৩ কে ভাগ করলে প্রতিক্ষেত্রে ৩ অবশিষ্ট থাকে?,২,৩,৫,২০,গ,৫,
২০,সাধারণ,,"ভিন্ন আকৃতির তিনটি ড্রামে যথাক্রমে ১২, ১৫ ও ২১ লিটার পানি ধরে, সর্বাধিক কত লিটারের জগ দ্বারা পাত্র তিনটি পূরণ করা যাবে?",২,৩,৪,৮,খ,৩,
২১,সাধারণ,,একটি লোহার পাত ও তামার পাতের দৈর্ঘ্য যথাক্রমে ১২৬ সে.মি. এবং ১৬২ সে.মি.। পাত দুইটি থেকে কেটে নেওয়া একই মাপের সবচেয়ে বড় টুকরাটি কত দৈর্ঘ্যের?,৭,৮,৯,১৮,ঘ,১৮,
২২,সাধারণ,,৬৪ এর মৌলিক গুণনীয়কে কয় জোড়া ২ বিদ্যমান?,১,২,৩,৪,গ,৩,
২৩,সাধারণ,,"কোন বৃহত্তম সংখ্যা দ্বারা ৬৩, ১৪৭ ও ২৩১ কে ভাগ করলে কোনো ভাগশেষ থাকবে না?",৭,১৪,২১,২৮,গ,২১,
২৪,উদ্দীপকভিত্তিক,,একটি বৃহত্তম সংখ্যা 'ক' দ্বারা ১১০ ও ১৯৪ কে ভাগ করলে যদি প্রত্যেকবার ভাগশেষ ২ থাকে তবে- ‘ক’ হবে ১০৮ ও ১৯০ এর ল.সা.গু. ‘ক’ হবে ১০৮ ও ১৯২ এর গ.সা.গু. ‘ক’ = ১২ নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ,ii ও iii,
২৫,উদ্দীপকভিত্তিক,,"৪৮ ও ৭২ এর- মৌলিক গুণনীয়কগুলো যথাক্রমে ২, ২, ২, ২, ৩ এবং ২, ২, ২, ৩, ৩ সাধারণ মৌলিক গুণনীয়কগুলো হলো ২, ২, ২.৩",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
২৬,সাধারণ,,৬ ও ৯ এর-,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ঘ,"i, ii ও iii",
২৭,সাধারণ,,সবচেয়ে বেশি কয়জন ছাত্রের মধ্যে ঐ ফলগুলো সমানভাবে ভাগ করে দেওয়া যাবে?,০,১,২,৩,ঘ,৩,
২৮,সাধারণ,,প্রত্যেক ছাত্র কয়টি লিচু পাবে?,১টি,২টি,৪টি,৫টি,গ,৪টি,
৫২৫,উদ্দীপকভিত্তিক,,", ৪৯৫ ও ৫৭০ তিনটি সংখ্যা। ২৯. তৃতীয় সংখ্যাটির মৌলিক উৎপাদক কয়টি?",৩,৪,৫,৬,খ,৪,
৩০,সাধারণ,,দ্বিতীয় সংখ্যাটির সর্বোচ্চ মৌলিক উৎপাদক কোনটি?,৩,৫,১১,১৯,গ,১১,
৩১,সাধারণ,,সংখ্যা তিনটির গ.সা.গু. কত?,৩,১৫,২৫,৩৫,খ,১৫,
৩২,সাধারণ,,সংখ্যা তিনটির গ.সা.গু. কত?,১,২,৩,৪,ক,১,
৩৩,সাধারণ,,কত ঘণ্টা পর ঘণ্টাগুলো আবার একত্রে বাজবে?,৩,$৩\frac{১}{২}$,৪,$৪\frac{১}{২}$,খ,$৩\frac{১}{২}$,
৩৪,সাধারণ,,ইউক্লিডীয় প্রক্রিয়ায় ল.সা.গু. নির্ণয়ের ক্ষেত্রে কমপক্ষে কয়টি সংখ্যার সাধারণ গুণনীয়ক দ্বারা ভাগ করতে হয়?,২টি,৩টি,সব সংখ্যার,১টি,ক,২টি,
৩৫,সাধারণ,,ল.সা.গু. এর পূর্ণ অর্থ কোনটি?,লঘিষ্ঠ সাধারণ গুণিতক,লঘিষ্ঠ সাধারণ গুণনীয়ক,গরিষ্ঠ সাধারণ গুণিতক,গরিষ্ঠ সাধারণ গুণনীয়ক,ক,লঘিষ্ঠ সাধারণ গুণিতক,
৩৬,সাধারণ,,নিচের কোনগুলো ৪ এর গুণিতক?,"২, ৪","৪, ৬","৮, ১৪","৮, ১৬",ঘ,"৮, ১৬",
৩৭,সাধারণ,,"৩০, ৩৬ ও ৪০ এর ল.সা.গু. কোনটি?",৪০,৮০,১২০,৩৬০,ঘ,৩৬০,
৩৮,সাধারণ,,"৮, ১২ ও ১৮ এর ল.সা.গু কত?",১৮,৩৬,৭২,৯৬,গ,৭২,
৩৯,সাধারণ,,৮ এর লঘিষ্ঠ গুণিতক কোনটি?,২৪,৩২,৩০,১৬,ঘ,১৬,
৪০,সাধারণ,,১৬ ও ২৩ এর ল.সা.গু. কত?,১,১৮,১৯,৩৬৮,ঘ,৩৬৮,
৪১,সাধারণ,,নিচের কোন সংখ্যাগুলোর ল.সা.গু. ৬০?,"১৫, ১৬","১২, ১৫","১২, ১৮","১৮, ২৪",খ,"১২, ১৫",
৪২,সাধারণ,,"১২, ২৪ ও ৩২ এর ল.সা.গু. কত?",৬০,৭২,১২০,৯৬,ঘ,৯৬,
৪৩,সাধারণ,,ইউক্লিডীয় পদ্ধতিতে ৩০ ও ৩৫ এর ল.সা.গু কত?,১৪০,২১০,৩৩০,৮৩১৫,খ,২১০,
৪৪,সাধারণ,,কোন ক্ষুদ্রতম সংখ্যার সাথে ১২ যোগ করলে যোগফল ৩২ ও ৩৬ দ্বারা নিঃশেষে বিভাজ্য হবে?,১৬০,২৪০,২৭৬,৪৮০,গ,২৭৬,
৪৫,উদ্দীপকভিত্তিক,,"৬৩৯ এর- সাধারণ গুণিতকগুলো ৯, ১৮, ২৭ ও ৩৬ সাধারণ গুণিতকগুলোর মধ্যে সবচেয়ে ছোট গুণিতক ১৮ ল.সা.গু.র দ্বিগুণ = ৩৬ নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ,ii ও iii,
৪৬,উদ্দীপকভিত্তিক,,"৪৮, ৫৬ ও ৭২ সংখ্যাগুলোতে- ৪৮ এর মৌলিক গুণনীয়কগুলো হলো ২×২×২×২×৩ ৩য় সংখ্যাটির মৌলিক গুণনীয়কে ২য় সংখ্যাটি অপেক্ষা একটি ২ অধিক আছে ল.সা.গু ১০০৮ নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
৪৭,উদ্দীপকভিত্তিক,,"৩৫, ১৫, ২০ তিনটি পূর্ণসংখ্যা হলে- ল.সা.গু. ৪০",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ,ii ও iii,
৪৮,উদ্দীপকভিত্তিক,,ইউক্লিডীয় প্রক্রিয়ায় ল.সা.গু. নির্ণয়ের ক্ষেত্রে- ভাগ করতে করতে সবার নিচের সারির সংখ্যাগুলো সহমৌলিক হবে সহমৌলিকগুলোর ধারাবাহিক গুণফলই নির্ণেয় ল.সা.গু. সহমৌলিকগুলো ও ভাজকগুলোর ধারাবাহিক গুণফলই নির্ণেয় ল.সা.গু. নিচের কোনটি সঠিক?,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
৩০,উদ্দীপকভিত্তিক,,ও ৪৫ দুটি সংখ্যা। ৪৯. ৩০ এর মৌলিক গুণনীয়কের সংখ্যা কতটি?,৮,৭,৬,৩,ঘ,৩,
৫০,সাধারণ,,সংখ্যা দুটির ল.সা.গু. ও গ.সা.গু. এর পার্থক্য কত?,১৫,৭৫,৯০,১০৫,খ,৭৫,
৫১,সাধারণ,,সংখ্যা দুইটির গরিষ্ঠ সাধারণ গুণনীয়ক কত?,৮,১৬,২৪,৩২,খ,১৬,
৫২,সাধারণ,,বৃহত্তম সংখ্যাটির গুণিতক কোনটি?,৪৮,৩২,১৬,৪,ক,৪৮,
১৩,উদ্দীপকভিত্তিক,,", ৩৯, ৫২ ৫৩. নিচের কোনটি ১ম সংখ্যাটির গুণিতক?",১,১৯,১৩,৩৮,গ,১৩,
৫৪,সাধারণ,,সংখ্যাগুলোর ল.সা.গু. কত?,১০৪,১৬৯,১৩,১৫৬,ঘ,১৫৬,
৫৫,সাধারণ,,দুইটি সংখ্যার গ.সা.গু ও ল.সা.গু. এর গুণফল ১০৮। একটি সংখ্যা ১২ হলে অপর সংখ্যাটি কত?,৯,১২,১৬,১৮,ক,৯,
৫৬,সাধারণ,,"দুইটি সংখ্যার গুণফল ৭২, এদের গ.সা.গু ১ হলে ল.সা.গু. কত?",১,৮,৯,৭২,ঘ,৭২,
৫৭,সাধারণ,,দুইটি সংখ্যার ল. সা. গু. ২৪ এবং গ. সা. গু. ৪। সংখ্যা দুইটির গুণফল কত?,৪৮,৭২,৯৬,১২০,গ,৯৬,
৫৮,সাধারণ,,দুইটি সংখ্যা p ও q এবং সংখ্যাদ্বয়ের ল.সা.গু. ও গ.সা.গু. যথাক্রমে c ও d হলে নিচের কোনটি সত্য?,cp = dq,c × d = p × q,C + p = d + q,$\frac{p}{d}$ = $\frac{p}{q}$,খ,c × d = p × q,
৫৯,সাধারণ,,দুইটি সংখ্যার গুণফল ৫২ এবং গ.সা.গু ৪ হলে ল.সা.গু কত?,২৬,১৩,৭,৪,খ,১৩,
৬০,সাধারণ,,দুইটি সংখ্যার গ.সা.গু. ১২ এবং ল.সা.গু. ৮০ হলে সংখ্যা দুটির গুণফল কত?,৯৬০,৮৬০,৭৬০,৮৭০,ক,৯৬০,
৬১,সাধারণ,,"দুটি সংখ্যার গুণফল ৫৬, গ.সা.গু. ১ হলে সংখ্যা দুটির ল.সা.গু. কত?",১,৭,৮,৫৬,ঘ,৫৬,
৬২,সাধারণ,,"দুইটি সংখ্যার গুণফল ৪২। একটি সংখ্যা ৬ হলে, সংখ্যা দুইটির গ.সা.গু. কত?",১,৩,৬,৮,ক,১,
৬৩,সাধারণ,,ক এবং ৬৪ এর গ.সা.গু ও ল.সা.গু. যথাক্রমে ৮ ও ৩২০ হলে ক এর মান কত?,২০,৩০,৪০,৬০,গ,৪০,
৬৪,উদ্দীপকভিত্তিক,,দুইটি সংখ্যা ১২ ও ১৪ হলে সংখ্যাদ্বয়ের- ল.সা.গু. = ৮৪,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
৬৫,উদ্দীপকভিত্তিক,,"নিচের তথ্যগুলো লক্ষ কর: দুইটি সংখ্যার গুণফল = সংখ্যা দুইটির ল.সা.গু. × সংখ্যা দুইটির গ.সা.গু লঘু অনুপাত একটি সরল অনুপাত মিশ্র অনুপাত, সরল অনুপাত নাও হতে পারে নিচের কোনটি সঠিক?",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৬৬,সাধারণ,,নিচের তথ্যগুলো লক্ষ কর:,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",গ,ii ও iii,
৬৭,উদ্দীপকভিত্তিক,,উদ্দীপকের সংখ্যা তিনটি এর ল.সা.গু. কত?,৬,৮,৪৮,৪৮০,ঘ,৪৮০,
৬৮,সাধারণ,,মেঝেটি বাধাই করলে টাইলসের কতগুলো সারি ও কলাম হবে?,৬০ ও ৮০,৪৮ ও ৬০,৪২ ও ৪৮,৩৬ ও ৪২,ক,৬০ ও ৮০,
৬৯,সাধারণ,,মেঝেটি বাধাই করতে কতগুলো টাইলস লাগবে?,৪৮০০,৫২০০,৫৪০০,৬০০০,ক,৪৮০০,
৭০,সাধারণ,,শেষ তিনটি সংখ্যার ল.সা.গু. কত?,১৬,৩২,৬৪,৯৬,ঘ,৯৬,
৭১,সাধারণ,,ক্ষুদ্রতম সংখ্যাটি কত?,৯১,৯৬,১০১,১৯২,ক,৯১,
৭২,সাধারণ,,নিচের তথ্যগুলো লক্ষ কর:,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৭৩,সাধারণ,,"তিনটি ঘণ্টা প্রথমে একত্রে বেজে প্রতি ৬, ৯ ও ১২ সেকেন্ড অন্তর বাজতে লাগল। ন্যূনতম কত সেকেন্ড পর ঘণ্টাগুলো পুনরায় আবার একত্রে বাজবে?",১৮,৩৬,৪৮,৭২,খ,৩৬,
৭৪,সাধারণ,,"দুইটি সংখ্যার গ.সা.গু ১ এবং ল.সা.গু ৩০। একটি সংখ্যা ৫ হলে, অপর সংখ্যা কত?",৫,৬,১৫,২০,খ,৬,
৭৫,সাধারণ,,কোন বৃহত্তম সংখ্যা দ্বারা ৪৬ ও ৯১ কে ভাগ করলে প্রতি ক্ষেত্রে ১ অবশিষ্ট থাকে?,৫,৯,১৫,৪৫,ঘ,৪৫,
৭৬,সাধারণ,,নিচের কোনটি ১ম সংখ্যাটির গুণিতক?,১,১৯,২৯,৩৮,গ,২৯,
৭৭,সাধারণ,,সংখ্যাগুলোর গ.সা.গু কত?,২৯,২৯,১৩,১,ঘ,১,
৭৮,সাধারণ,,"১৪, ২১, ৫৬ এর ল.সা.গু কত?",১৬৮,১৫৮,১৪৮,১২৮,ক,১৬৮,
৭৯,সাধারণ,,দুইটি সংখ্যার গুণফল ২০৪ এবং ল.সা.গু ২০৪। ছোটো সংখ্যাটি কত?,১৭,১২,৮,৬,খ,১২,
৮০,উদ্দীপকভিত্তিক,,"২৮ ও ৩৮ এর- মৌলিক গুণনীয়কগুলো যথাক্রমে ২, ২,৭এবং ২, ১৯ সাধারণ মৌলিক গুণনীয়কগুলো হলো ২",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",ক,i ও ii,
৮১,সাধারণ,,নিচের কোন দুইটি সংখ্যার গ.সা.গু ১১?,"১০৫, ১৬৫","৮৮, ১৪৩","৩২৩, ৪৩৭","৭৭, ১৩৫",খ,"৮৮, ১৪৩",
২৫,উদ্দীপকভিত্তিক,,ও ৪৫ দুইটি স্বাভাবিক সংখ্যা। ৮২. দ্বিতীয় সংখ্যাটির গুণনীয়ক নিচের কোনটি?,২,৬,৭,৯,ঘ,৯,
৮৩,সাধারণ,,কোন সংখ্যাটি প্রথম সংখ্যার গুণিতক?,৪৫,৬৫,৭৫,৯০,গ,৭৫,
৮৪,সাধারণ,,১৮ ও ৭ এর ল.সা.গু কত?,১,৭,১৮,১২৬,ঘ,১২৬,
৮৫,সাধারণ,,দুইটি সংখ্যা ক ও খ হলে-,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",খ,i ও iii,
৮৬,সাধারণ,,"৭, ৩১ দুটি মৌলিক সংখ্যা। সংখ্যা দুটির গ.সা.গু কত?",১,৭,৩১,২১৭,ক,১,
১,সাধারণ,,সাধারণ ভগ্নাংশ কত প্রকার?,দুই,তিন,চার,পাঁচ,খ,তিন,
২,সাধারণ,,নিচের কোনটি প্রকৃত ভগ্নাংশ?,$\frac{৭}{১০}$,$১\frac{৭}{৮}$,$\frac{১০}{৭}$,$\frac{৮}{৭}$,ক,$\frac{৭}{১০}$,
৩,সাধারণ,,ক স্বাভাবিক সংখ্যা হলে নিচের কোনটি অপ্রকৃত ভগ্নাংশ?,$\frac{ক+১}{ক+৩}$,$\frac{ক-২}{ক-৩}$,$\frac{ক}{ক+১}$,$\frac{ক-৩}{ক-২}$,খ,$\frac{ক-২}{ক-৩}$,
৪,সাধারণ,,নিচের কোনটি প্রকৃত ভগ্নাংশ?,$\frac{২}{৫}$,$১\frac{৩}{৫}$,$\frac{১০}{৭}$,$\frac{৮}{৭}$,ক,$\frac{২}{৫}$,
৫,সাধারণ,,নিচের কোনটি মিশ্র ভগ্নাংশ?,$২\frac{৫}{৩}$,$\frac{৫}{৩}$,$২\frac{৩}{৫}$,$৫\frac{৩}{২}$,গ,$২\frac{৩}{৫}$,
৬,সাধারণ,,ভগ্নাংশ পূর্ণসংখ্যা = কী?,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,(ভগ্নাংশের লব + পূর্ণসংখ্যা)/ভগ্নাংশের হর,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,ক,(ভগ্নাংশের লব পূর্ণসংখ্যা)/ভগ্নাংশের হর,
৭,সাধারণ,,১ অপেক্ষা বড় ভগ্নাংশকে কি বলে?,অপ্রকৃত ভগ্নাংশ,প্রকৃত ভগ্নাংশ,মিশ্র ভগ্নাংশ,অমূলদ সংখ্যা,ক,অপ্রকৃত ভগ্নাংশ,
৮,সাধারণ,,"একটি ভগ্নাংশের লব ১২ ও হর ১৪ হলে, ভগ্নাংশটির মান কত?",$\frac{১}{৪}$,$\frac{১}{৩}$,$\frac{৭}{৯}$,$\frac{৬}{৭}$,ঘ,$\frac{৬}{৭}$,
৯,সাধারণ,,$২\frac{২}{৩}$      সংখ্যাটিতে পূর্ণ অংশ কোনটি?,$\frac{২}{৩}$,২,১৩,৬,খ,২,
১০,সাধারণ,,মিশ্র ভগ্নাংশ = কী?,$\frac{পূর্ণসংখ্যা \times লব + হর}{হর}$,$\frac{পূর্ণসংখ্যা \times লব - হর}{হর}$,$\frac{পূর্ণসংখ্যা \times হর + লব}{হর}$,$\frac{পূর্ণসংখ্যা \times লব + লব}{হর}$,গ,$\frac{পূর্ণসংখ্যা \times হর + লব}{হর}$,
১১,সাধারণ,,$১৭\frac{৩}{১৬}$            কে  অপ্রকৃত ভগ্নাংশে প্রকাশ করলে কী হবে?,$\frac{২০৫}{১৬}$,$\frac{২২৫}{১৬}$,$\frac{২৪৫}{১৬}$,$\frac{২৭৫}{১৬}$,ঘ,$\frac{২৭৫}{১৬}$,
