Serial,Question,Option_ক,Option_খ,Option_গ,Option_ঘ,Answer_Label,Answer_Text,Explanation
৯৯,.  𝑙𝑜𝑔_{𝑎}𝑙𝑜𝑔_{𝑎}𝑙𝑜𝑔_{𝑎}𝑎^{𝑎^{𝑎}}   এর   মান   কত ? [ দি .  বো .  ১৫ ] [ টপিক :  লগের   মান   নির্ণয় ],0,1,𝑎,-1,খ,1,
১০০,০০ .   𝑙𝑜𝑔_{𝑥}𝑙𝑜𝑔_{𝑥}𝑙𝑜𝑔_{𝑥}𝑥^{𝑥^{𝑥^{2}}}   এর   মান   কত ?   [ টপিক :  লগের   মান   নির্ণয় ],0,1,2,4,গ,2,
১০১,০১ .   𝑙𝑜𝑔_{2}𝑙𝑜𝑔_{2}𝑙𝑜𝑔_{2}16=   কত ?   [ দি .  বো .  ২১ ] [ টপিক :  লগের   মান   নির্ণয় ],16,4,2,1,ঘ,1,
১০২,০২ .   𝑙𝑜𝑔_{𝑥}𝑎×𝑙𝑜𝑔_{𝑎}𝑏×𝑙𝑜𝑔_{𝑏}𝑐×𝑙𝑜𝑔_{𝑐}𝑦=   কত ?   [ ব .  বো .  ১৭ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑙𝑜𝑔_{𝑦}𝑥,𝑙𝑜𝑔_{𝑥}𝑦,𝑙𝑜𝑔𝑦,𝑙𝑜𝑔𝑥,খ,𝑙𝑜𝑔_{𝑥}𝑦,
১০৩,০৩ .   𝑙𝑜𝑔_{sqrt(𝑎)}𝑏×𝑙𝑜𝑔_{sqrt(𝑏)}𝑐×𝑙𝑜𝑔_{sqrt(𝑐)}𝑎=   এর   মান   কত ?   [ দাখিল ২০১৯ ] [ টপিক :  লগের   মান   নির্ণয় ],8,4,2,(1)/(8),ক,8,
১০৪,০৪ .   𝑙𝑜𝑔_{sqrt(2)}3×𝑙𝑜𝑔_{sqrt(3)}5×𝑙𝑜𝑔_{sqrt(5)}2   এর   মান   কত ?   [ দি .  বো .  ২৩ ] [ টপিক :  লগের   মান   নির্ণয় ],sqrt(8),sqrt(30),8,30,গ,8,
১০৫,০৫ .   𝑙𝑜𝑔_{𝑎}𝑏.𝑙𝑜𝑔_{𝑏}𝑎   এর   মান   কোনটি ?   [ দাখিল ২০১৭ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑎,𝑏,0,1,ঘ,1,
১০৬,০৬ .   𝑙𝑜𝑔_{𝑎}𝑚.𝑙𝑜𝑔_{𝑎}𝑏=   কত ?   [ রা .  বো .  ১৫ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑙𝑜𝑔_{𝑎}𝑚,𝑙𝑜𝑔_{𝑏}𝑚,𝑙𝑜𝑔_{𝑏}𝑎,𝑙𝑜𝑔_{𝑚}𝑏,ক,𝑙𝑜𝑔_{𝑎}𝑚,
১০৭,০৭ .   𝑝^{𝑥}=𝑦   হলে   নিচের   কোনটি   সঠিক ?   [ সি .  বো .  ২৩ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑝=𝑙𝑜𝑔_{𝑥}𝑦,𝑥=𝑙𝑜𝑔_{𝑏}𝑦,𝑥=𝑙𝑜𝑔_{𝑦}𝑝,𝑦=𝑙𝑜𝑔_{𝑝}𝑥,খ,𝑥=𝑙𝑜𝑔_{𝑏}𝑦,
১০৮,০৮ .   7^{𝑥}=𝑦   হলে   নিচের   কোনটি   সঠিক ?   [ চ .  বো .  ১৭ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑥=7𝑙𝑜𝑔𝑦,𝑥=𝑙𝑜𝑔(𝑦)/(7),𝑥=𝑙𝑜𝑔𝑦^{7},𝑥=𝑙𝑜𝑔_{7}𝑦,ঘ,𝑥=𝑙𝑜𝑔_{7}𝑦,
১০৯,"০৯ .   যদি   𝑎^{𝑥}=𝑛   হয় ,  তবে   𝑥=   কত ?   [ চ .  বো .  ১৬ ] [ টপিক :  লগের   মান   নির্ণয় ]",𝑙𝑜𝑔_{𝑛}𝑎,𝑙𝑜𝑔_{𝑎}𝑛,𝑙𝑜𝑔_{𝑛}(1)/(𝑎),𝑙𝑜𝑔_{𝑎}(1)/(𝑛),খ,𝑙𝑜𝑔_{𝑎}𝑛,
১১০,১০ .   𝑎^{𝑥}=𝑦   হলে   নিচের   কোনটি   সঠিক ?   [ রা .  বো .  ১৬ ] [ টপিক :  লগের   মান   নির্ণয় ],𝑙𝑜𝑔_{𝑎}𝑥=𝑦,𝑙𝑜𝑔𝑔𝑦=𝑥,𝑙𝑜𝑔_{𝑎}𝑦=𝑥,𝑥𝑙𝑜𝑔𝑎=𝑦,গ,𝑙𝑜𝑔_{𝑎}𝑦=𝑥,
১১১,"১১ .   1+𝑙𝑜𝑔_{𝑎}𝑏𝑐=0   হলে ,  নিচের   কোনটি   সঠিক ?",𝑎𝑏𝑐-1=0,𝑎𝑏𝑐+1=0,𝑎+𝑏𝑐=0,𝑎𝑏𝑐=0,a,𝑎𝑏𝑐-1=0,
১১২,"১২ .   1+𝑙𝑜𝑔_{𝑝}𝑞𝑟=0   হলে ,  নিচের   কোনটি   সঠিক ?   [ য .  বো .  ১৯ ] [ টপিক :  লগের   মান   নির্ণয় ]",𝑝𝑞𝑟+1=0,𝑝𝑞𝑟-1=0,𝑞𝑟-1=0,𝑝𝑞𝑟=0,খ,𝑝𝑞𝑟-1=0,
১১৩,১৩ .   sqrt(𝑎)=sqrt(𝑏)   এবং   𝑎𝑏=1   হলে   𝑚+𝑛   এর   মান   কত ?   [ সি .  বো .  ২৪ ] [ টপিক :  লগের   মান   নির্ণয় ],0,1,2,4,ক,0,
১১৪,"১৪ .   যদি   𝑥, 𝑦, 𝑧≠0, 𝑝^{𝑥}=𝑞^{𝑦}=𝑟^{𝑧}   হয় ,  তবে   নিচের   কোনটি   সঠিক ?   [ ব .  বো .  ১৯ ] [ টপিক :  লগের   মান   নির্ণয় ]",𝑞=𝑟^{(𝑧)/(𝑦)},𝑟=𝑞^{(𝑧)/(𝑦)},𝑞=𝑟^{(𝑦)/(𝑧)},𝑝=𝑞^{(𝑥)/(𝑦)},ক,𝑞=𝑟^{(𝑧)/(𝑦)},
১১৫,১৫ .   𝑝=𝑙𝑜𝑔_{𝑎}𝑎𝑏𝑐   এবং   𝑞=𝑙𝑜𝑔_{𝑐}𝑎𝑏 1+𝑝=   কত ?,𝑙𝑜𝑔_{𝑏}𝑎𝑏𝑐,𝑙𝑜𝑔_{𝑎}𝑎𝑏𝑐,𝑙𝑜𝑔_{𝑎}𝑏^{2}𝑐,𝑙𝑜𝑔_{𝑎𝑏𝑐}𝑎,খ,𝑙𝑜𝑔_{𝑎}𝑎𝑏𝑐,
১১৬,"১৬ .  𝑝=𝑙𝑜𝑔_{𝑎}𝑎𝑏𝑐   এবং   𝑞=𝑙𝑜𝑔_{𝑐}𝑎𝑏 𝑝+𝑞=0   হলে ,  𝑎𝑏+𝑏𝑐=   কত ?",0,1,2,3,গ,2,
১১৭,"১৭ .   𝑥=𝑙𝑜𝑔_{𝑚}𝑛𝑙, 𝑦=𝑙𝑜𝑔_{𝑛}𝑙𝑚, 𝑧=𝑙𝑜𝑔_{𝑙}𝑚𝑛. 𝑥+1=   কত ?   [ ব .  বো .  ১৯ ] [ টপিক :  লগের   মান   নির্ণয় ]",𝑙𝑜𝑔_{𝑚}𝑛𝑙+1,𝑙𝑜𝑔_{𝑚}𝑙𝑚+1,𝑙𝑜𝑔_{𝑛}𝑚𝑛𝑙,𝑙𝑜𝑔_{𝑚}𝑚𝑛𝑙,ঘ,𝑙𝑜𝑔_{𝑚}𝑚𝑛𝑙,
১১৮,"১৮ .   𝑥=𝑙𝑜𝑔_{𝑚}𝑛𝑙, 𝑦=𝑙𝑜𝑔_{𝑛}𝑙𝑚, 𝑧=𝑙𝑜𝑔_{𝑙}𝑚𝑛. (1)/(𝑥+1)+(1)/(𝑦+1)+(1)/(𝑧+1)=   কত ? [ ব .  বো .  ১৯ ]   [ টপিক :  লগের   মান   নির্ণয় ]",0,1,𝑙𝑜𝑔_{𝑙}𝑚𝑛𝑙,𝑙𝑜𝑔_{𝑚}𝑚𝑛𝑙,খ,1,
১১৯,"১৯ .   𝐴=1-𝑙𝑜𝑔_{𝑞}𝑝𝑞   হলে ,  (1)/(𝐴)   এর   মান   কত ?   [ ঢা .  বো .  ২১ ] [ টপিক :  লগের   মান   নির্ণয় ]",-𝑙𝑜𝑔_{𝑞}𝑝,𝑙𝑜𝑔_{𝑝}𝑝,𝑙𝑜𝑔_{𝑝}𝑝,-𝑙𝑜𝑔_{𝑝}𝑞,ক,-𝑙𝑜𝑔_{𝑞}𝑝,
১২০,২০ .   (𝑙𝑜𝑔_{2}𝑥)/(𝑦-𝑧)=(𝑙𝑜𝑔_{2}𝑦)/(𝑧-𝑥)=(𝑙𝑜𝑔_{2}𝑧)/(𝑥-𝑦) 𝑦𝑧=   কত ?   [ ম .  বো .  ২২ ] [ টপিক :  লগের   মান   নির্ণয় ],(1)/(𝑥),1,2,(1)/(2),ক,(1)/(𝑥),
১২১,২১ .   (𝑙𝑜𝑔_{2}𝑥)/(𝑦-𝑧)=(𝑙𝑜𝑔_{2}𝑦)/(𝑧-𝑥)=(𝑙𝑜𝑔_{2}𝑧)/(𝑥-𝑦) 𝑥^{𝑥}𝑦^{𝑦}𝑧^{𝑧}=   কত ?   [ ম .  বো .  ২২ ]   [ টপিক :  লগের   মান   নির্ণয় ],0,1,𝑥𝑦𝑧,(1)/(𝑥𝑦𝑧),খ,1,
১২২,২২ .  𝑙𝑜𝑔_{sqrt(27)}𝑥=3(1)/(3)   হলে   𝑥   এর   মান   কত ? [ ঢা .  বো .  ২৪ ] [ টপিক :  লগের   সমাধান ],32,81,90,243,ঘ,243,
১২৩,২৩ .  𝑙𝑜𝑔_{sqrt(8)}𝑥=(2)/(3)   হলে   𝑥   এর   মান   কত ? [ ঢা .  বো .  ২৩ ] [ টপিক :  লগের   সমাধান ],8,4,2sqrt(2),2,ঘ,2,
১২৪,২৪ .   𝑙𝑜𝑔_{sqrt(32)}𝑥=(6)/(5)   হলে   𝑥   এর   মান   কত ?   [ দি .  বো .  ২০ ] [ টপিক :  লগের   সমাধান ],2,6,8,10sqrt(2),গ,8,
১২৫,২৫ .   𝑙𝑜𝑔_{sqrt(32)}𝑥=(6)/(5)   হলে   𝑥   এর   মান   কত ?   [ ম .  বো .  ২০ ] [ টপিক :  লগের   সমাধান ],2,6,8,10sqrt(2),গ,8,
১২৬,২৬ .   𝑙𝑜𝑔_{sqrt(8)}𝑥=3(1)/(3)   হলে   𝑥   এর   মান   কত ?   [ চ .  বো .  ২০ ] [ টপিক :  লগের   সমাধান ],8,16,32,64,গ,32,
১২৭,২৭ .   𝑙𝑜𝑔_{sqrt(27)}𝑦=1(1)/(3)   হলে   𝑦   এর   মান   কত ?   [ চ .  বো .  ২০ ] [ টপিক :  লগের   সমাধান ],3(1)/(3),3(3)/(2),9,36,গ,9,
১২৮,"২৮ .   যদি   𝑙𝑜𝑔_{sqrt(27)}𝑥=1(1)/(3)   হয় ,  তাহলে   𝑥= ?   [ ঢা .  বো .  ২০ ] [ টপিক :  লগের   সমাধান ]",3,9,(1)/(3),(1)/(9),খ,9,
১২৯,২৯ .   𝑙𝑜𝑔_{sqrt(27)}𝑥=4   হলে   𝑥   এর   মান   কত ?   [ রা .  বো .  ২৩ ] [ টপিক :  লগের   সমাধান ],sqrt(188),4sqrt(27),27,729,ঘ,729,
১৩০,৩০ .   𝑙𝑜𝑔_{𝑥}9=2   হলে   𝑥=   কত ?   [ সি .  বো .  ২২ ] [ টপিক :  লগের   সমাধান ],-3,sqrt(2),3,81,গ,3,
১৩১,৩১ .   𝑙𝑜𝑔_{sqrt(2)}𝑥=8   হলে   𝑥=   কত ?   [ দি .  বো .  ২২ ] [ টপিক :  লগের   সমাধান ],1,2,4,8,গ,4,
১৩২,৩২ .   𝑙𝑜𝑔_{sqrt(27)}𝑥=(2)/(3)   হলে   𝑥   এর   মান   কোনটি ?   [ দাখিল ২০২২ ] [ টপিক :  লগের   সমাধান ],3(9)/(2),3(9)/(4),3,1,গ,3,
১৩৩,৩৩ .  𝑙𝑜𝑔_{sqrt(27)}𝑥=2(2)/(3)   হলে   𝑥   এর   মান   কোনটি ? [ ঢা .  বো .  ২১ ] [ টপিক :  লগের   সমাধান ],3(9)/(16),3(16)/(9),3^{4},3^{16},গ,3^{4},
১৩৪,৩৪ .   𝑙𝑜𝑔_{2}(1)/(𝑥)=-4   হলে   𝑥   এর   মান   কোনটি ?   [ দাখিল   ২০২২ ] [ টপিক :  লগের   সমাধান ],-16,-4,4,16,ঘ,16,
১৩৫,৩৫ .   যদি   𝑙𝑜𝑔_{2sqrt(3)}𝑥=2   হয়   তবে   𝑥   এর   মান   কত ?   [ ব .  বো .  ২১ ] [ টপিক :  লগের   সমাধান ],2sqrt(3),4sqrt(3),6,12,ঘ,12,
১৩৬,৩৬ .   𝑙𝑜𝑔_{𝑥}sqrt((1)/(64))=(3)/(2)   হয়   তবে   𝑥   এর   মান   কত ?   [ ঢা .  বো .  ২২ ] [ টপিক :  লগের   সমাধান ],(1)/(16),(1)/(4),4,16,খ,(1)/(4),
১৩৭,৩৭ .   𝑙𝑜𝑔_{𝑥}4+𝑙𝑜𝑔_{𝑥}16=6   হলে   𝑙𝑜𝑔_{𝑥}8   এর   মান   কত ?   [ চ .  বো .  ২৪ ] [ টপিক :  লগের   সমাধান ],1,2,3,6,গ,3,
১৩৮,"৩৮ .   𝑙𝑜𝑔_{5}17+sqrt(𝑥)=2   হয় ,  তবে   𝑥   এর   মান   কত ?   [ সি .  বো .  ২১ ] [ টপিক :  লগের   সমাধান ]",2sqrt(2),49,64,225,গ,64,
১৩৯,৩৯ .   𝑙𝑜𝑔_{2}𝑝+𝑞=3   এবং   𝑙𝑜𝑔_{2}𝑝-𝑞=4   হলে   𝑝   এর   মান   কত ?   [ য .  বো .  ২২ ] [ টপিক :  লগের   সমাধান ],(7)/(2),7,12,(25)/(2),গ,12,
১৪০,"৪০ .   𝑙𝑜𝑔_{4}𝑥+𝑦=2=𝑙𝑜𝑔_{2}𝑥-𝑦   হলে   𝑥, 𝑦   এর   মান   নিচের   কোনটি ?   [ ঢা .  বো .  ২২ ] [ টপিক :  লগের   সমাধান ]","6, 2","10, 6","6, 10","20, 12",খ,"10, 6",
১৪১,"৪১ .   𝐹𝑥=(3)/(2𝑥-1)   ফাংশনটির   ডোমেন   কত ?   [ ঢা .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑥∈𝑥:≠-(1)/(2),𝑥∈:𝑥≠(1)/(2),𝑥∈𝑥:𝑥≥(1)/(2),𝑥∈:𝑥>(1)/(2),খ,𝑥∈:𝑥≠(1)/(2),
১৪২,"𝑃   এর   মান   কত ?   [ ঢা .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",-7,-12,9,12,খ,-12,
১৪৩,"৪৩ .   যদি   𝑝=3   এবং   𝑞=2   হয় ,  তবে   𝑓𝑥   এর   ডোমেন   কত ?   [ ঢা .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑅-(3)/(2),𝑅--(2)/(3),𝑅-3,𝑅--(𝑞)/(𝑝),ঘ,𝑅--(𝑞)/(𝑝),
১৪৪,৪৪ .  𝑓𝑥=(2)/(sqrt(2-𝑥))   ফাংশনের   ডোমেন   কত ?,𝑥∈𝑅 :𝑥<-2,𝑥∈𝑅 :𝑥≤-2,𝑥∈𝑅 :𝑥<2,𝑥∈𝑅 :𝑥≤2,গ,𝑥∈𝑅 :𝑥<2,
১৪৫,"৪৫ .   𝑓𝑥=(3𝑥)/(3-𝑥)   ফাংশনের   ডোমেন   নিচের   কোনটি ?   [ সি .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑥∈ :𝑥>3,𝑥∈:𝑥<3,𝑥∈:𝑥≠3,𝑥∈:𝑥≠0,গ,𝑥∈:𝑥≠3,
১৪৬,"৪৬ .   𝑓𝑥=𝑙𝑛𝑥-2   এর   ডোমেন   কোনটি ?   [ দি .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",-2,𝑥∈:𝑥≥-2,𝑥∈:𝑥≥2,𝑥∈:𝑥>2,ঘ,𝑥∈:𝑥>2,
১৪৭,"৪৭ .   𝑓𝑥=sqrt(1-2𝑥)   এর   ডোমেন   কোনটি ?   [ ম .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑥∈𝑥≥(1)/(2),𝑥∈:𝑥>(1)/(2),𝑥∈𝑥<(1)/(2),𝑥∈:𝑥≤(1)/(2),ঘ,𝑥∈:𝑥≤(1)/(2),
১৪৮,"৪৮ .   𝑓𝑥=𝑒(𝑥)/(2)   ফাংশনটির   ডোমেন   কত ?   [ ম .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, 0","0, ∞",𝑅-2,𝑅,ঘ,𝑅,
১৪৯,"৪৯ .   𝑓𝑥=𝑙𝑛(8+𝑥)/(8-𝑥)   এর   ডোমেন   নিচের   কোনটি ?   [ রা .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","0, 8","-8, 8","-8, 8","0, 8",খ,"-8, 8",
১৫০,"৫০ .   𝑓𝑥=𝑙𝑛(9+𝑥)/(9-𝑥)   এর   ডোমেন   কত ?   [ দি .  বো .  ১৯ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, 9","-9, 9","-9, ∞","9, ∞",খ,"-9, 9",
১৫১,৫১ .   𝑓𝑥=𝑙𝑛(7+𝑥)/(7-𝑥)   এর   ডোমেন   নিচের   কোনটি ?,"0, 7","-7, 7","-7, 7","0, 7",খ,"-7, 7",
১৫২,৫২ .   𝑓𝑥=𝑙𝑛9-𝑥   ফাংশনটির   ডোমেন   নিচের   কোনটি ?,𝑥∈𝑅 :𝑥≤9,𝑥∈𝑅 :𝑥<9,𝑥∈𝑅 :𝑥>9,𝑥∈𝑅 :𝑥≥9,খ,𝑥∈𝑅 :𝑥<9,
১৫৩,"৫৩ .   𝑓𝑥=𝑥   এর   ডোমেন   কোনটি ?   [ রা .  বো .  ২২ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑅,"0, ∞","-∞, 0","0, 0",ক,𝑅,
১৫৪,"৫৪ .   𝑓𝑥=𝑥   এর   ডোমেন   কোনটি ? [ য .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","0, -∞","∞, 0","0, ∞",𝑅,ঘ,𝑅,
১৫৫,"৫৫ .   𝑓𝑥=𝑥   এর   ডোমেন   কোনটি ?   [ সি .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑅,"0, ∞","-∞, 0","0, 0",ক,𝑅,
১৫৬,"৫৬ .   𝑓𝑥=𝑥   এর   ডোমেন   কোনটি ?   [ দি .  বো .  ১ ৬ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑥∈𝑅 :𝑥<0,𝑅+,𝑥∈𝑅 :𝑥≥0,𝑅,ঘ,𝑅,
১৫৭,"৫৭ .   𝑓𝑥=(𝑥)/(𝑥)   ফাংশনটির   ডোমেন   কত ?   [ রা .  বো .  ১ ৫ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",0,"-1, 1",𝑅-0,𝑅,গ,𝑅-0,
১৫৮,"৫৮ .   𝑓𝑥=4^{𝑥}   সূচকীয়   ফাংশনের   ডোমেন   কোনটি ?   [ য .  বো .  ২৩ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, 4","-∞, 0","0, ∞","-∞, -∞",ঘ,"-∞, -∞",
১৫৯,"৫৯ .   𝑓𝑥=4^{𝑥}   সূচকীয়   ফাংশনের   ডোমেন   কোনটি ?   [ ব .  বো .  ২২ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, 4","-∞, 0","0, ∞","-∞, -∞",ঘ,"-∞, -∞",
১৬০,"৬০ .   𝑓𝑥=3𝑥-5𝑥   এর   ডোমেন   কত ? [ যখন   -2≤𝑥≤11 ]   [ ঢা .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-2, 11","-2, 11","-22, 16","-22, 16",ক,"-2, 11",
১৬১,"৬১ .   𝑓𝑥=𝑙𝑜𝑔_{𝑎}𝑥 ;  যখন   0<𝑎<1   হয় ,  তবে   এর   ডোমেন   কত ?   [ ঢা .  বো .  ২৩ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","0, ∞","-∞, 0","∞, 0","-∞, -∞",ক,"0, ∞",
১৬২,"৬২ .   𝑓𝑥=𝑙𝑛(8+𝑥)/(8-𝑥)   ফাংশনের   রেঞ্জ   কত ?   [ ঢা .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-8, ∞","8, ∞","-8, 8","-∞, ∞",ঘ,"-∞, ∞",
১৬৩,৬৩ .   𝑓𝑥=5^{𝑥}   ফাংশনের   রেঞ্জ   কত ?,"0, -∞","0, ∞","-∞, 0","∞, 0",খ,"0, ∞",
১৬৪,"৬৪ .   𝑓𝑥=𝑥 ;  যখন   -3≤𝑥≤3   হলে ,  𝑓𝑥   এর   রেঞ্জ   কত ?   [ ব .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","0, 3","0, 3","-3, 3","-3, 3",ক,"0, 3",
১৬৫,"৬৫ .   𝑓𝑥=(𝑥)/(𝑥)   ফাংশনটির   রেঞ্জ   নিচের   কোনটি ?   [ য .  বো .  ২০ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑅_{𝑓}=1,𝑅_{𝑓}=-1,𝑅_{𝑓}=𝑥 :𝑥∈𝑅,"𝑅_{𝑓}=-1, 1",ঘ,"𝑅_{𝑓}=-1, 1",
১৬৬,"৬৬ .   𝑓𝑥=3𝑥-5𝑥   এর   রেঞ্জ   কত ? [ যখন   -2≤𝑥≤1 ]   [ চ .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-2, 11","-22, 4","-22, 16","-22, 16",গ,"-22, 16",
১৬৭,"৬৭ .   𝑓𝑥=𝑥-1   হলে   রেঞ্জ   𝑓=   কত ?   [ ম .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","0, ∞","0, ∞","0, ∞","0, ∞",ক,"0, ∞",
১৬৮,"৬৮ .   𝑦=3^{𝑥}   এর   রেঞ্জ   কত ?   [ চ .  বো .  ২২ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, ∞","-∞, 0","0, ∞","(2)/(3), ∞",গ,"0, ∞",
১৬৯,"৬৯ .   𝑓𝑥=𝑙𝑜𝑔_{10}3𝑥   𝑓𝑥   এর   ডোমেন   কত ? [ রা .  বো .  ২৩ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, ∞","-∞, 0","0, ∞","3, ∞",গ,"0, ∞",
১৭০,"৭০ .   𝑓𝑥=𝑙𝑜𝑔_{10}3𝑥   𝑓𝑥   এর   রেঞ্জ   কত ? [ রা .  বো .  ২৩ ]   [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]","-∞, ∞","-∞, 0","0, ∞","3, ∞",ক,"-∞, ∞",
১৭১,"৭১ .   𝑦=𝑙𝑜𝑔_{5}𝑥   এর   বিপরীত   ফাং শন   কোনটি ?   [ রা .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑦=𝑙𝑜𝑔_{𝑥}5,𝑦=5^{𝑥},𝑦=𝑙𝑜𝑔_{𝑥}(1)/(5),𝑦=5^{-𝑥},খ,𝑦=5^{𝑥},
১৭২,"৭২ .   𝑓𝑥=(𝑥-3)/(2𝑥-3)   এর   বিপরীত   ফাংশন   নিচের   কোনটি ?   [ য .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",(3𝑥-1)/(2𝑥-1),(3𝑥-1)/(𝑥-2),(3𝑥-1)/(𝑥-2),(3𝑥-1)/(2𝑥-1),ক,(3𝑥-1)/(2𝑥-1),
১৭৩,"৭৩ .   𝑓𝑥=3^{𝑥}   এর   বিপরীত   ফাংশন   কোনটি ?   [ ব .  বো .  ২৪ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑙𝑜𝑔_{3}𝑥,𝑙𝑜𝑔_{3}𝑦,𝑙𝑜𝑔_{𝑦}3,𝑙𝑜𝑔_{𝑥}3,ক,𝑙𝑜𝑔_{3}𝑥,
১৭৪,"৭৪ .   𝑦=1-6^{-𝑥}   এর   বিপরীত   ফাংশন   কোনটি ?   [ রা .  বো .  ২১ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑙𝑜𝑔_{6}1-𝑥,1-6^{𝑥},𝑙𝑜𝑔_{6}𝑥-1,𝑙𝑜𝑔_{6}(1)/(1-𝑥),ঘ,𝑙𝑜𝑔_{6}(1)/(1-𝑥),
১৭৫,"৭৫ .   𝑦=1-5^{-𝑥}   এর   বিপরীত   ফাংশন   কোনটি ?   [ য .  বো .  ২০ ] [ টপিক :  ফাংশনের   ডোমেন ,  রেঞ্জ  ও  বিপরীত   ফাংশন   নির্ণয় ]",𝑙𝑜𝑔_{5}1-𝑥,1-5^{𝑥},𝑙𝑜𝑔_{5}(1)/(1-𝑥),𝑙𝑜𝑔_{5}𝑥-1,গ,𝑙𝑜𝑔_{5}(1)/(1-𝑥),
